/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:188: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  "please use transforms.Resize instead.")
Epoch 16 | Batch 90/100 | Loss 0.983813
Epoch 17 | Batch 0/100 | Loss 1.028174
Epoch 17 | Batch 10/100 | Loss 0.892074
Epoch 17 | Batch 20/100 | Loss 0.910696
Epoch 17 | Batch 30/100 | Loss 0.942651
Epoch 17 | Batch 40/100 | Loss 0.931047
Epoch 17 | Batch 50/100 | Loss 0.942982
Epoch 17 | Batch 60/100 | Loss 0.959093
Epoch 17 | Batch 70/100 | Loss 0.965165
Epoch 17 | Batch 80/100 | Loss 0.958772
Epoch 17 | Batch 90/100 | Loss 0.957919
Epoch 18 | Batch 0/100 | Loss 0.981326
Epoch 18 | Batch 10/100 | Loss 0.954221
Epoch 18 | Batch 20/100 | Loss 0.928745
Epoch 18 | Batch 30/100 | Loss 0.947748
Epoch 18 | Batch 40/100 | Loss 0.961058
Epoch 18 | Batch 50/100 | Loss 0.950520
Epoch 18 | Batch 60/100 | Loss 0.937226
Epoch 18 | Batch 70/100 | Loss 0.935445
Epoch 18 | Batch 80/100 | Loss 0.937768
Epoch 18 | Batch 90/100 | Loss 0.940923
Epoch 19 | Batch 0/100 | Loss 0.837490
Epoch 19 | Batch 10/100 | Loss 0.950922
Epoch 19 | Batch 20/100 | Loss 0.956644
Epoch 19 | Batch 30/100 | Loss 0.968815
Epoch 19 | Batch 40/100 | Loss 0.958455
Epoch 19 | Batch 50/100 | Loss 0.962523
Epoch 19 | Batch 60/100 | Loss 0.967441
Epoch 19 | Batch 70/100 | Loss 0.971496
Epoch 19 | Batch 80/100 | Loss 0.962412
Epoch 19 | Batch 90/100 | Loss 0.965785
Epoch 20 | Batch 0/100 | Loss 0.939958
Epoch 20 | Batch 10/100 | Loss 0.938560
Epoch 20 | Batch 20/100 | Loss 0.939583
Epoch 20 | Batch 30/100 | Loss 0.911503
Epoch 20 | Batch 40/100 | Loss 0.925758
Epoch 20 | Batch 50/100 | Loss 0.912050
Epoch 20 | Batch 60/100 | Loss 0.916505
Epoch 20 | Batch 70/100 | Loss 0.929931
Epoch 20 | Batch 80/100 | Loss 0.915699
Epoch 20 | Batch 90/100 | Loss 0.909452
Epoch 21 | Batch 0/100 | Loss 0.905971
Epoch 21 | Batch 10/100 | Loss 0.844814
Epoch 21 | Batch 20/100 | Loss 0.878800
Epoch 21 | Batch 30/100 | Loss 0.909391
Epoch 21 | Batch 40/100 | Loss 0.917006
Epoch 21 | Batch 50/100 | Loss 0.925354
Epoch 21 | Batch 60/100 | Loss 0.912426
Epoch 21 | Batch 70/100 | Loss 0.928278
Epoch 21 | Batch 80/100 | Loss 0.940548
Epoch 21 | Batch 90/100 | Loss 0.944794
Epoch 22 | Batch 0/100 | Loss 0.760629
Epoch 22 | Batch 10/100 | Loss 0.892047
Epoch 22 | Batch 20/100 | Loss 0.890795
Epoch 22 | Batch 30/100 | Loss 0.902538
Epoch 22 | Batch 40/100 | Loss 0.904091
Epoch 22 | Batch 50/100 | Loss 0.918016
Epoch 22 | Batch 60/100 | Loss 0.925316
Epoch 22 | Batch 70/100 | Loss 0.920188
Epoch 22 | Batch 80/100 | Loss 0.916364
Epoch 22 | Batch 90/100 | Loss 0.914907
Epoch 23 | Batch 0/100 | Loss 1.166395
Epoch 23 | Batch 10/100 | Loss 0.918187
Epoch 23 | Batch 20/100 | Loss 0.947585
Epoch 23 | Batch 30/100 | Loss 0.945124
Epoch 23 | Batch 40/100 | Loss 0.953292
Epoch 23 | Batch 50/100 | Loss 0.952537
Epoch 23 | Batch 60/100 | Loss 0.938846
Epoch 23 | Batch 70/100 | Loss 0.924619
Epoch 23 | Batch 80/100 | Loss 0.913422
Epoch 23 | Batch 90/100 | Loss 0.902017
Epoch 24 | Batch 0/100 | Loss 0.703670
Epoch 24 | Batch 10/100 | Loss 0.861360
Epoch 24 | Batch 20/100 | Loss 0.883673
Epoch 24 | Batch 30/100 | Loss 0.929151
Epoch 24 | Batch 40/100 | Loss 0.928745
Epoch 24 | Batch 50/100 | Loss 0.935600
Epoch 24 | Batch 60/100 | Loss 0.925708
Epoch 24 | Batch 70/100 | Loss 0.910132
Epoch 24 | Batch 80/100 | Loss 0.906768
Epoch 24 | Batch 90/100 | Loss 0.892233
Epoch 25 | Batch 0/100 | Loss 1.084257
Epoch 25 | Batch 10/100 | Loss 0.898179
Epoch 25 | Batch 20/100 | Loss 0.923675
Epoch 25 | Batch 30/100 | Loss 0.932109
Epoch 25 | Batch 40/100 | Loss 0.949793
Epoch 25 | Batch 50/100 | Loss 0.942552
Epoch 25 | Batch 60/100 | Loss 0.932336
Epoch 25 | Batch 70/100 | Loss 0.923680
Epoch 25 | Batch 80/100 | Loss 0.922048
Epoch 25 | Batch 90/100 | Loss 0.923696
Epoch 26 | Batch 0/100 | Loss 0.781188
Epoch 26 | Batch 10/100 | Loss 0.868375
Epoch 26 | Batch 20/100 | Loss 0.866472
Epoch 26 | Batch 30/100 | Loss 0.850481
Epoch 26 | Batch 40/100 | Loss 0.847446
Epoch 26 | Batch 50/100 | Loss 0.861341
Epoch 26 | Batch 60/100 | Loss 0.874229
Epoch 26 | Batch 70/100 | Loss 0.874946
Epoch 26 | Batch 80/100 | Loss 0.874116
Epoch 26 | Batch 90/100 | Loss 0.874171
Epoch 27 | Batch 0/100 | Loss 1.004768
Epoch 27 | Batch 10/100 | Loss 0.887192
Epoch 27 | Batch 20/100 | Loss 0.870823
Epoch 27 | Batch 30/100 | Loss 0.869520
Epoch 27 | Batch 40/100 | Loss 0.864437
Epoch 27 | Batch 50/100 | Loss 0.872264
Epoch 27 | Batch 60/100 | Loss 0.888504
Epoch 27 | Batch 70/100 | Loss 0.888206
Epoch 27 | Batch 80/100 | Loss 0.882462
Epoch 27 | Batch 90/100 | Loss 0.880657
Epoch 28 | Batch 0/100 | Loss 0.841186
Epoch 28 | Batch 10/100 | Loss 0.882778
Epoch 28 | Batch 20/100 | Loss 0.902570
Epoch 28 | Batch 30/100 | Loss 0.878840
Epoch 28 | Batch 40/100 | Loss 0.862441
Epoch 28 | Batch 50/100 | Loss 0.859604
Epoch 28 | Batch 60/100 | Loss 0.859896
Epoch 28 | Batch 70/100 | Loss 0.866631
Epoch 28 | Batch 80/100 | Loss 0.866044
Epoch 28 | Batch 90/100 | Loss 0.864180
Epoch 29 | Batch 0/100 | Loss 1.027357
Epoch 29 | Batch 10/100 | Loss 0.948556
Epoch 29 | Batch 20/100 | Loss 0.934289
Epoch 29 | Batch 30/100 | Loss 0.937211
Epoch 29 | Batch 40/100 | Loss 0.911994
Epoch 29 | Batch 50/100 | Loss 0.894814
Epoch 29 | Batch 60/100 | Loss 0.886332
Epoch 29 | Batch 70/100 | Loss 0.886268
Epoch 29 | Batch 80/100 | Loss 0.882434
Epoch 29 | Batch 90/100 | Loss 0.876894
Epoch 30 | Batch 0/100 | Loss 1.126441
Epoch 30 | Batch 10/100 | Loss 0.840133
