/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:188: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  "please use transforms.Resize instead.")
/home/yunhui/ibm2019/few_shot/methods/matchingnet.py:89: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  a = self.softmax(logit_a)
/home/yunhui/ibm2019/few_shot/methods/matchingnet.py:43: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  softmax = self.softmax(scores)
Epoch 14 | Batch 40/100 | Loss 2.168873
Epoch 14 | Batch 50/100 | Loss 2.174219
Epoch 14 | Batch 60/100 | Loss 2.156380
Epoch 14 | Batch 70/100 | Loss 2.140863
Epoch 14 | Batch 80/100 | Loss 2.143939
Epoch 14 | Batch 90/100 | Loss 2.125368
Epoch 15 | Batch 0/100 | Loss 1.865794
Epoch 15 | Batch 10/100 | Loss 2.147600
Epoch 15 | Batch 20/100 | Loss 2.142647
Epoch 15 | Batch 30/100 | Loss 2.080948
Epoch 15 | Batch 40/100 | Loss 2.067839
Epoch 15 | Batch 50/100 | Loss 2.083773
Epoch 15 | Batch 60/100 | Loss 2.078135
Epoch 15 | Batch 70/100 | Loss 2.105770
Epoch 15 | Batch 80/100 | Loss 2.095510
Epoch 15 | Batch 90/100 | Loss 2.090609
Epoch 16 | Batch 0/100 | Loss 2.581056
Epoch 16 | Batch 10/100 | Loss 2.153156
Epoch 16 | Batch 20/100 | Loss 2.150310
Epoch 16 | Batch 30/100 | Loss 2.074102
Epoch 16 | Batch 40/100 | Loss 2.083974
Epoch 16 | Batch 50/100 | Loss 2.063940
Epoch 16 | Batch 60/100 | Loss 2.054476
Epoch 16 | Batch 70/100 | Loss 2.069780
Epoch 16 | Batch 80/100 | Loss 2.072915
Epoch 16 | Batch 90/100 | Loss 2.087288
Epoch 17 | Batch 0/100 | Loss 2.151776
Epoch 17 | Batch 10/100 | Loss 1.922230
Epoch 17 | Batch 20/100 | Loss 2.012682
Epoch 17 | Batch 30/100 | Loss 1.980922
Epoch 17 | Batch 40/100 | Loss 1.982784
Epoch 17 | Batch 50/100 | Loss 2.002614
Epoch 17 | Batch 60/100 | Loss 2.022752
Epoch 17 | Batch 70/100 | Loss 2.026239
Epoch 17 | Batch 80/100 | Loss 2.023832
Epoch 17 | Batch 90/100 | Loss 2.034085
Epoch 18 | Batch 0/100 | Loss 2.179791
Epoch 18 | Batch 10/100 | Loss 2.115340
Epoch 18 | Batch 20/100 | Loss 2.094492
Epoch 18 | Batch 30/100 | Loss 2.117194
Epoch 18 | Batch 40/100 | Loss 2.077608
Epoch 18 | Batch 50/100 | Loss 2.078129
Epoch 18 | Batch 60/100 | Loss 2.081189
Epoch 18 | Batch 70/100 | Loss 2.082496
Epoch 18 | Batch 80/100 | Loss 2.078876
Epoch 18 | Batch 90/100 | Loss 2.074456
Epoch 19 | Batch 0/100 | Loss 1.747689
Epoch 19 | Batch 10/100 | Loss 1.988366
Epoch 19 | Batch 20/100 | Loss 2.052075
Epoch 19 | Batch 30/100 | Loss 2.040953
Epoch 19 | Batch 40/100 | Loss 2.016558
Epoch 19 | Batch 50/100 | Loss 1.997797
Epoch 19 | Batch 60/100 | Loss 2.008444
Epoch 19 | Batch 70/100 | Loss 2.013474
Epoch 19 | Batch 80/100 | Loss 2.008366
Epoch 19 | Batch 90/100 | Loss 2.024847
Epoch 20 | Batch 0/100 | Loss 2.215471
Epoch 20 | Batch 10/100 | Loss 2.088241
Epoch 20 | Batch 20/100 | Loss 2.048496
Epoch 20 | Batch 30/100 | Loss 2.056202
Epoch 20 | Batch 40/100 | Loss 2.057954
Epoch 20 | Batch 50/100 | Loss 2.088333
Epoch 20 | Batch 60/100 | Loss 2.072363
Epoch 20 | Batch 70/100 | Loss 2.061288
Epoch 20 | Batch 80/100 | Loss 2.059750
Epoch 20 | Batch 90/100 | Loss 2.057242
Epoch 21 | Batch 0/100 | Loss 1.863419
Epoch 21 | Batch 10/100 | Loss 1.961629
Epoch 21 | Batch 20/100 | Loss 2.051506
Epoch 21 | Batch 30/100 | Loss 2.033096
Epoch 21 | Batch 40/100 | Loss 2.017141
Epoch 21 | Batch 50/100 | Loss 2.009550
Epoch 21 | Batch 60/100 | Loss 2.005358
Epoch 21 | Batch 70/100 | Loss 2.013313
Epoch 21 | Batch 80/100 | Loss 2.017197
Epoch 21 | Batch 90/100 | Loss 2.015754
Epoch 22 | Batch 0/100 | Loss 1.784115
Epoch 22 | Batch 10/100 | Loss 2.004139
Epoch 22 | Batch 20/100 | Loss 2.010518
Epoch 22 | Batch 30/100 | Loss 2.020664
Epoch 22 | Batch 40/100 | Loss 2.002190
Epoch 22 | Batch 50/100 | Loss 2.001487
Epoch 22 | Batch 60/100 | Loss 2.035813
Epoch 22 | Batch 70/100 | Loss 2.029972
Epoch 22 | Batch 80/100 | Loss 2.044789
Epoch 22 | Batch 90/100 | Loss 2.049397
Epoch 23 | Batch 0/100 | Loss 1.944457
Epoch 23 | Batch 10/100 | Loss 2.094166
Epoch 23 | Batch 20/100 | Loss 2.043110
Epoch 23 | Batch 30/100 | Loss 2.054235
Epoch 23 | Batch 40/100 | Loss 2.014100
Epoch 23 | Batch 50/100 | Loss 2.022395
Epoch 23 | Batch 60/100 | Loss 2.045135
Epoch 23 | Batch 70/100 | Loss 2.038358
Epoch 23 | Batch 80/100 | Loss 2.065758
Epoch 23 | Batch 90/100 | Loss 2.054321
Epoch 24 | Batch 0/100 | Loss 1.826282
Epoch 24 | Batch 10/100 | Loss 2.036907
Epoch 24 | Batch 20/100 | Loss 2.049082
Epoch 24 | Batch 30/100 | Loss 2.038324
Epoch 24 | Batch 40/100 | Loss 2.047946
Epoch 24 | Batch 50/100 | Loss 2.019072
Epoch 24 | Batch 60/100 | Loss 2.016447
Epoch 24 | Batch 70/100 | Loss 2.000981
Epoch 24 | Batch 80/100 | Loss 2.006551
Epoch 24 | Batch 90/100 | Loss 2.017644
Epoch 25 | Batch 0/100 | Loss 1.743058
Epoch 25 | Batch 10/100 | Loss 2.014091
Epoch 25 | Batch 20/100 | Loss 2.033631
Epoch 25 | Batch 30/100 | Loss 2.062828
Epoch 25 | Batch 40/100 | Loss 2.037308
Epoch 25 | Batch 50/100 | Loss 2.037036
Epoch 25 | Batch 60/100 | Loss 2.053076
Epoch 25 | Batch 70/100 | Loss 2.087016
Epoch 25 | Batch 80/100 | Loss 2.056310
Epoch 25 | Batch 90/100 | Loss 2.085441
Epoch 26 | Batch 0/100 | Loss 2.226422
Epoch 26 | Batch 10/100 | Loss 1.962963
Epoch 26 | Batch 20/100 | Loss 2.010541
Epoch 26 | Batch 30/100 | Loss 1.992327
Epoch 26 | Batch 40/100 | Loss 1.998377
Epoch 26 | Batch 50/100 | Loss 2.029640
Epoch 26 | Batch 60/100 | Loss 2.030951
Epoch 26 | Batch 70/100 | Loss 2.026900
Epoch 26 | Batch 80/100 | Loss 2.031628
Epoch 26 | Batch 90/100 | Loss 2.035021
Epoch 27 | Batch 0/100 | Loss 1.737540
Epoch 27 | Batch 10/100 | Loss 2.023587
Epoch 27 | Batch 20/100 | Loss 1.993114
Epoch 27 | Batch 30/100 | Loss 1.980360
Epoch 27 | Batch 40/100 | Loss 1.999180
Epoch 27 | Batch 50/100 | Loss 2.016199
Epoch 27 | Batch 60/100 | Loss 2.030329
Epoch 27 | Batch 70/100 | Loss 2.040254
Epoch 27 | Batch 80/100 | Loss 2.031017
Epoch 27 | Batch 90/100 | Loss 2.029507
Epoch 28 | Batch 0/100 | Loss 1.954649
Epoch 28 | Batch 10/100 | Loss 2.098567
Epoch 28 | Batch 20/100 | Loss 2.069686
Epoch 28 | Batch 30/100 | Loss 2.085577
Epoch 28 | Batch 40/100 | Loss 2.034118
Epoch 28 | Batch 50/100 | Loss 2.028969
Epoch 28 | Batch 60/100 | Loss 2.047824
Epoch 28 | Batch 70/100 | Loss 2.040012
Epoch 28 | Batch 80/100 | Loss 2.042185
Epoch 28 | Batch 90/100 | Loss 2.050654
Epoch 29 | Batch 0/100 | Loss 2.122223
Epoch 29 | Batch 10/100 | Loss 2.042529
Epoch 29 | Batch 20/100 | Loss 2.103779
